Music;Artist;Text;
Estadodecadente;ZéNetoeCristiano;E lá se vai mais uma noite Que eu to virando No vazio desse apartamento Já tô quase pirando Me Bate o desespero Empilhando garrafa Passa o tempo só você não passa  No estado decadente que eu tô A tristeza decora essa casa  Eu sei que ninguém morre de amor Mas cachaça e Saudade mata;
MudandodeAssunto;HenriqueeJuliano;Quer saber qual seria o meu pesadelo Sem nenhuma dúvida seria o medo Seria acordar e não estar com você  Chega a dar tremedeira, um nó na barriga Quem ama demais não suporta uma briga Ciúmes demais faz a gente sofrer  Mudando de assunto Cê tá tão bonita Que cheiro gostoso que vem de você E se eu te contar você nem acredita Se eu tava brigando e eu nem lembro  por que  Pra que brigar se o amor é isso É uma espécie de um vício Mil maneiras de querer  Pra que brigar Chorar, embora Eu bem sei que nessa hora Vai me dar vontade de você   Mudando de assunto Cê tá tão bonita Que cheiro gostoso que vem de você E se eu te contar você nem acredita Se eu tava brigando e eu nem lembro  por que  Pra que brigar se o amor é isso É uma espécie de um vício Mil maneiras de querer  Pra que brigar Chorar, embora Eu bem sei que nessa hora Vai me dar vontade de você (2x)  Mudando de assunto cê ta tão bonita.;
Transplante;MaríliaMendonçapart.BrunoeMarrone;Outra vez A sua boca fala E o coração desmente E aí, como é que você se sente? Só me conta como foi sem mim Na primeira farra Quem deixou de beber E dirigiu por você Até sua casa? Só me conta quem vai dividir contigo O último pedaço E o outro lado do fone de ouvido, ô ô Esse coração aí 'Tá se fazendo de bobo Ele gosta mesmo é de mim Esse coração aí 'Tá sendo ignorante Pra me esquecer, vai precisar de um transplante Esse coração aí 'Tá se fazendo de bobo Ele gosta mesmo é de mim Esse coração aí 'Tá sendo ignorante Pra me esquecer, vai precisar de um transplante Ai ai, ai ai Só me conta quem vai dividir contigo O último pedaço E o outro lado do fone de ouvido, ô ô Esse coração aí 'Tá se fazendo de bobo Ele gosta mesmo é de mim Esse coração aí 'Tá sendo ignorante Pra me esquecer, vai precisar de um transplante Esse coração aí 'Tá se fazendo de bobo Ele gosta mesmo é de mim Esse coração aí 'Tá sendo ignorante Pra me esquecer, vai precisar de um transplante Ai ai, ai ai Pra me esquecer, vai precisar de um transplante;
Otemponãoapaga;VictoreLeo;Olhando o céu lembrei que tudo que vivemos não passou e pra dizer mais pensei que temos outra chance de fazer nosso sol brilhar em mim em você  o tempo não apaga não desfaz  o beijo que eu desejo sempre mais não posso esquecer o seu olhar no meu eu sei que nosso amor ainda não morreu  olhando o céu lembrei que tudo que vivemos não passou e pra dizer mais pensei que temos outra chance de fazer nosso sol brilhar em mim em você  o tempo não apaga não desfaz  o beijo que eu desejo sempre mais não posso esquecer o seu olhar no meu eu sei que o nosso amor ainda não morreu;
Camaroamarelo;MunhozeMariano;"Agora eu fiquei doce, doce, doce, doce Agora eu fiquei do-do-do-do-doce, doce [2x]  Agora eu fiquei doce igual caramelo Tô tirando onda de camaro amarelo Agora você diz: ""Vem cá que eu te quero!"" Quando eu passo no camaro amarelo  Quando eu passava por você na minha Cg Você nem me olhava Fazia de tudo pra me ver, pra me perceber Mas nem me olhava Aí veio a herança do meu 'véio', Resolveu os meus problemas, minha situação E do dia pra noite fiquei rico Tô na grife, tô bonito Tô andando igual patrão  Agora eu fiquei doce igual caramelo Tô tirando onda de camaro amarelo Agora você diz: ""Vem cá que eu te quero!"" Quando eu passo no camaro amarelo  Agora você vem, né?  E agora você quer, né? Só que agora vou escolher, ta sobrando mulher Agora você vem, né? E agora você quer, né? Só que agora vou escolher, ta sobrando mulher  Quando eu passava por você na minha Cg Você nem me olhava Fazia de tudo pra me ver, pra me perceber Mas nem me olhava Aí veio a herança do meu 'véio', Resolveu os meus problemas, minha situação E do dia pra noite fiquei rico Tô na grife, tô bonito Tô andando igual patrão  Agora eu fiquei doce igual caramelo Tô tirando onda de camaro amarelo Agora você diz: ""Vem cá que eu te quero!"" Quando eu passo no camaro amarelo [2x]  Agora você vem, né?  E agora você quer, né? Só que agora vou escolher, ta sobrando mulher Agora você vem, né? E agora você quer, né? Só que agora vou escolher, ta sobrando mulher  Agora eu fiquei doce igual caramelo Tô tirando onda de camaro amarelo Agora você diz: ""Vem cá que eu te quero!"" Quando eu passo no camaro amarelo  Agora eu fiquei doce, doce, doce, doce Agora eu fiquei do-do-do-do-doce, doce";
ShowdasPoderosas;Anitta;Prepara que agora é a hora Do show das poderosas Que descem e rebolam Afrontam as fogosas Só as que incomodam Expulsam as invejosas Que ficam de cara quando toca  Prepara Se não tá mais a vontade sai por onde entrei Quando começo a dançar eu te enlouqueço, eu sei Meu exército é pesado a gente tem poder Ameaça coisas do tipo você Vai  Solta o som que é pra me ver dançando Até você vai ficar babando Para o baile pra me ver dançando Chama atenção a toa Perde a linha fica louca  Solta o som que é pra me ver dançando Até você vai ficar babando Para o baile pra me ver dançando Chama atenção a toa Perde a linha fica louca  Prepara que agora é a hora Do show das poderosas Que descem e rebolam Afrontam as fogosas Só as que incomodam Expulsam as invejosas Que ficam de cara quando toca  Prepara Se não tá mais a vontade Sai por onde entrei Quando começo a dançar Eu te enlouqueço, eu sei Meu exército é pesado A gente tem poder Ameaça coisas do tipo você Vai  Solta o som que é pra me ver dançando Até você vai ficar babando Para o baile pra me ver dançando Chama atenção a toa Perde a linha Fica louca  Solta o som que é pra me ver dançando Até você vai ficar babando Para o baile pra me ver dançando Chama atenção a toa Perde a linha Fica louca Fica louca Fica louca  Prepara!;
SorteQueCêBeijaBem;MaiaraeMaraisa;Eu jurei não bater na sua porta Olha eu batendo E quebrando outra promessa Eu tentei não tocar mais no seu nome Mas de cada três palavras Uma me interessa Você é um problema que eu quero ter Mesmo sabendo que eu não consigo resolver Eu prometo que não vou te amar Porque essa promessa Vou fazer questão de quebrar Sabe o que você tem Tem sorte que 'cê beija bem Você é a corda bamba que eu aprendi a andar Sabe o que você tem Tem sorte que 'cê beija bem Só me deixar ir Porque sabe que eu vou voltar Você é um problema que eu quero ter Mesmo sabendo que eu não consigo resolver Eu prometo que não vou te amar Porque essa promessa Vou fazer questão de quebrar Sabe o que você tem Tem sorte que 'cê beija bem Você é a corda bamba que eu aprendi a andar Sabe o que você tem Tem sorte que 'cê beija bem Só me deixar ir Porque sabe que eu vou voltar Sabe o que você tem (Tem sorte que 'cê beija bem) Você é a corda bamba que eu aprendi a andar Sabe o que você tem Tem sorte que 'cê beija bem Só me deixar ir Porque sabe que eu vou voltar;
10minutoslongedevocê;Victor&Leopart.Henrique&Juliano;Dizem que os olhos, são como o espelho Que seu brilho sempre reflete aquilo que seu coração tá cheio Dizem que a boca, descreve momentos Com palavras de amor,  Revelando o que trago no meu peito Na minha história com você não é tão diferente E no brilho dos seus olhos, vejo o quanto você sente Quando estou ausente E se você me ouve agora, vai me entender Me falta uma metade, tudo é nada sem você Eu tô chegando pra te ver  Tome um banho de flores, passe o seu perfume Coloque aquela roupa que me traz ciúme Que eu estou chegando pra te amar Me espera com sorriso de lábios vermelhos Prepare a nossa cama põe vinho no gelo Que eu quero brindar pra esquecer Esses dez minutos longe de você!;
Ausência;MaríliaMendonça;Sei bem o que te faz bem eu sei Mas no fundo eu já tentei não faltou coragem  É uma hora eu ia me tocar que você não vai mais voltar Não receber mensagem também é mensagem  Sei que o pra sempre virou pó E na cabeça deu um nó mas eu tô bem consciente Mas amei Amei sozinho mas por dois Me conformei que agora e não depois Vou ter que seguir em frente  Preocupa não Que eu não vou bater no seu portão  Preocupa não Que não vai ver mais o meu nome, nenhuma ligação Preocupa não Que eu vou tomar vergonha na cara  Preocupa não Pra um bom entendedor Meia ausência basta;
Mentestãobem;ZezéDiCamargo&Luciano;Me promete amor sincero, uma vida inteira Que com você o meu inverno vira primavera Vive me jurando estar apaixonada Prometeu o mundo e nunca me deu nada Você não cumpre nada  Que se eu seguir o seu caminho chegarei ao céu Eu vou provando o gosto amargo do seu doce mel Na mentira das palavras, entro no seu jogo Procurando água, só encontro fogo Me queimo nesse fogo  Quando você fala tão apaixonada Meu amor eu sempre estarei contigo Olho nos seus olhos, me emociono e choro Sei que é mentira, mas me sinto vivo Mesmo sendo falso o ar, sinto que respiro  Mentes tão bem Que parece verdade, o que você me fala Vou acreditando Mentes tão bem Que até chego a imaginar, que não quer me enganar Que me ama de verdade Mentes tão bem  Quando você fala tão apaixonada Meu amor eu sempre estarei contigo Olho nos seus olhos, me emociono e choro Sei que é mentira, mas me sinto vivo Mesmo sendo falso o ar, sinto que respiro  Mentes tão bem Que parece verdade, o que você me fala Vou acreditando Mentes tão bem Que até chego a imaginar, que não quer me enganar Que me ama de verdade Mentes tão bem  Não me ama de verdade Você mente tão bem.;
